time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-07-10T02:38:10.090Z,19.3349990844727,-155.122833251953,2.01999998092651,2.53,ml,43,116,,0.180000007,hv,hv73476912,2023-07-10T03:11:26.040Z,"14 km S of Fern Forest, Hawaii",earthquake,0.39,0.680000007,1.99,20,automatic,hv,hv
2023-07-10T02:24:49.216Z,51.943,-166.5577,50.5,2.7,ml,,,,0.82,ak,ak0238rwzems,2023-07-10T02:37:10.572Z,"191 km SE of Nikolski, Alaska",earthquake,,37.5,,,automatic,ak,ak
2023-07-09T15:25:53.000Z,38.8188324,-122.8034973,2.39,2.97,md,65,25,0.006867,0.07,nc,nc73910736,2023-07-09T18:29:57.904Z,"6km NW of The Geysers, CA",earthquake,0.13,0.19,0.18,73,automatic,nc,nc
2023-07-09T15:11:57.540Z,38.8193321,-122.8026657,2.41,2.53,md,60,25,0.007067,0.06,nc,nc73910726,2023-07-09T18:30:38.715Z,"6km NW of The Geysers, CA",earthquake,0.13,0.21,0.16,57,automatic,nc,nc
2023-07-09T05:30:05.750Z,38.7506676,-122.7348328,1.29,3.09,ml,64,37,0.007855,0.12,nc,nc73910531,2023-07-09T09:22:15.144Z,"4km SSE of The Geysers, CA",earthquake,0.16,0.28,0.275,14,automatic,nc,nc
2023-07-09T05:00:45.064Z,61.797,-149.8264,19.6,2.5,ml,,,,0.7,ak,ak0238qb37dk,2023-07-09T06:41:18.040Z,"Southern Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-07-09T04:57:31.970Z,38.7488327,-122.7363358,0.99,3.14,ml,65,36,0.007493,0.1,nc,nc73910471,2023-07-09T07:45:15.560Z,"4km SSE of The Geysers, CA",earthquake,0.15,0.26,0.295,13,automatic,nc,nc
2023-07-08T13:55:12.114Z,35.47789001,-98.03540039,5,2.63,ml,49,61.59570312,0.05370185152,0.7433236446,ok,ok2023ngod,2023-07-09T02:23:01.303Z,"Oklahoma",earthquake,1.769478167,,0.27,40,automatic,ok,ok
2023-07-08T09:41:20.679Z,61.1644,-151.1283,62.5,2.6,ml,,,,0.2,ak,ak0238oq6bqb,2023-07-08T09:53:21.040Z,"3 km NW of Beluga, Alaska",earthquake,,0.7,,,automatic,ak,ak
2023-07-08T05:36:41.183Z,61.3448,-147.293,18.8,2.5,ml,,,,0.49,ak,ak0238onrj1r,2023-07-08T05:41:50.040Z,"55 km SSE of Glacier View, Alaska",earthquake,,0.4,,,automatic,ak,ak
